Sample	Coral	Condition	Source	ASV	Relative Abundance
Dl10A	Dlab	DD	lesion	Planktotalea	0
Dl10B	Dlab	DH	non-lesion	Planktotalea	0
Dl10C	Dlab	H	non-lesion	Planktotalea	0
Dl6A	Dlab	DD	lesion	Planktotalea	0
Dl6B	Dlab	DH	non-lesion	Planktotalea	0
Dl6C	Dlab	DH	non-lesion	Planktotalea	0
Dl7C	Dlab	DH	non-lesion	Planktotalea	0
Dl8A	Dlab	DD	lesion	Planktotalea	0
Dl8B	Dlab	DH	non-lesion	Planktotalea	0
Dl8C	Dlab	DH	non-lesion	Planktotalea	0
Dl9A	Dlab	DD	lesion	Planktotalea	0.0035
Dl9B	Dlab	DH	non-lesion	Planktotalea	0
Dl9C	Dlab	DH	non-lesion	Planktotalea	0
Ds1A	Dsto	DD	lesion	Planktotalea	0.001
Ds1B	Dsto	DH	non-lesion	Planktotalea	0.0014
Ds1C	Dsto	DH	non-lesion	Planktotalea	0
Ds2A	Dsto	DD	lesion	Planktotalea	0
Ds2B	Dsto	DH	non-lesion	Planktotalea	0
Ds2C	Dsto	DH	non-lesion	Planktotalea	0
Ds3A	Dsto	DD	lesion	Planktotalea	0
Ds3B	Dsto	DH	non-lesion	Planktotalea	0
Ds3C	Dsto	DH	non-lesion	Planktotalea	0
Ds4A	Dsto	DD	lesion	Planktotalea	0
Ds4B	Dsto	DH	non-lesion	Planktotalea	0
Ds4C	Dsto	DH	non-lesion	Planktotalea	0
PBa	Mcav	H	non-lesion	Planktotalea	0
PBA1	Mcav	DH	non-lesion	Planktotalea	0
PBA2	Mcav	DH	non-lesion	Planktotalea	0
PBA3	Mcav	DD	lesion	Planktotalea	0.0039
PBA4	Mcav	DH	non-lesion	Planktotalea	0
PBb	Mcav	H	non-lesion	Planktotalea	0
PBB1	Mcav	DH	non-lesion	Planktotalea	0
PBB2	Mcav	DH	non-lesion	Planktotalea	0
PBB3	Mcav	DD	lesion	Planktotalea	0.0017
PBc	Mcav	H	non-lesion	Planktotalea	0
PBC1	Mcav	DH	non-lesion	Planktotalea	0
PBC2	Mcav	DH	non-lesion	Planktotalea	0
PBC3	Mcav	DD	lesion	Planktotalea	0
PBC4	Mcav	H	non-lesion	Planktotalea	0
PBd	Mcav	H	non-lesion	Planktotalea	0
PBD1	Mcav	DH	non-lesion	Planktotalea	0
PBD2	Mcav	DH	non-lesion	Planktotalea	0
PBD3	Mcav	DD	lesion	Planktotalea	0
PBF1	Mcav	H	non-lesion	Planktotalea	0
PBF2	Mcav	DH	non-lesion	Planktotalea	0
PBF3	Mcav	DH	non-lesion	Planktotalea	0
