	Coral	Colony	Condition	Near_Far	Source	Site
B1	control	control	control	control	control	control
B2	control	control	control	control	control	control
B3	control	control	control	control	control	control
10FTL	Montastraea_cavernosa	mcav1	DD	lesion	lesion	Dania_Beach
11FTL	Montastraea_cavernosa	mcav1	DH	near	non-lesion	Dania_Beach
12FTL	Montastraea_cavernosa	mcav1	DH	far	non-lesion	Dania_Beach
13FTL	Orbicella_faveolata	ofav1	DH	far	non-lesion	Dania_Beach
14FTL	Orbicella_faveolata	ofav1	DH	near	non-lesion	Dania_Beach
15FTL	Orbicella_faveolata	ofav1	DD	lesion	lesion	Dania_Beach
1FTL	Montastraea_cavernosa	mcav2	DD	lesion	lesion	Dania_Beach
2FTL	Montastraea_cavernosa	mcav2	DH	near	non-lesion	Dania_Beach
3FTL	Montastraea_cavernosa	mcav2	DH	far	non-lesion	Dania_Beach
4FTL	Montastraea_cavernosa	mcav3	DD	lesion	lesion	Dania_Beach
5FTL	Montastraea_cavernosa	mcav3	DH	near	non-lesion	Dania_Beach
6FTL	Montastraea_cavernosa	mcav3	DH	far	non-lesion	Dania_Beach
7FTL	Montastraea_cavernosa	mcav4	DD	lesion	lesion	Dania_Beach
8FTL	Montastraea_cavernosa	mcav4	DH	near	non-lesion	Dania_Beach
9FTL	Montastraea_cavernosa	mcav4	DH	far	non-lesion	Dania_Beach
PBa	Montastraea_cavernosa	a	H	undiseased	non-lesion	Dania_Beach
PBA1	Montastraea_cavernosa	A	DH	far	non-lesion	Dania_Beach
PBA2	Montastraea_cavernosa	A	DH	near	non-lesion	Dania_Beach
PBA3	Montastraea_cavernosa	A	DD	lesion	lesion	Dania_Beach
PBA4	Montastraea_cavernosa	A	DH	near	non-lesion	Dania_Beach
PBb	Montastraea_cavernosa	b	H	undiseased	non-lesion	Dania_Beach
PBB1	Montastraea_cavernosa	B	DH	far	non-lesion	Dania_Beach
PBB2	Montastraea_cavernosa	B	DH	near	non-lesion	Dania_Beach
PBB3	Montastraea_cavernosa	B	DD	lesion	lesion	Dania_Beach
PBc	Montastraea_cavernosa	c	H	undiseased	non-lesion	Dania_Beach
PBC1	Montastraea_cavernosa	C	DH	far	non-lesion	Dania_Beach
PBC2	Montastraea_cavernosa	C	DH	near	non-lesion	Dania_Beach
PBC3	Montastraea_cavernosa	C	DD	lesion	lesion	Dania_Beach
PBC4	Montastraea_cavernosa	c2	H	undiseased	non-lesion	Dania_Beach
PBd	Montastraea_cavernosa	d	H	undiseased	non-lesion	Dania_Beach
PBD1	Montastraea_cavernosa	D	DH	far	non-lesion	Dania_Beach
PBD2	Montastraea_cavernosa	D	DH	near	non-lesion	Dania_Beach
PBD3	Montastraea_cavernosa	D	DD	lesion	lesion	Dania_Beach
PBF1	Montastraea_cavernosa	f	H	undiseased	non-lesion	Dania_Beach
PBF2	Montastraea_cavernosa	F	DH	far	non-lesion	Dania_Beach
PBF3	Montastraea_cavernosa	F	DH	near	non-lesion	Dania_Beach
PBF4	Montastraea_cavernosa	F	DD	lesion	lesion	Dania_Beach
Dl10A	Diploria_labyrinthiformis	dl10	DD	lesion	lesion	Long_Key_Bridge
Dl10B	Diploria_labyrinthiformis	dl10	DH	near	non-lesion	Long_Key_Bridge
Dl10C	Diploria_labyrinthiformis	dl10	H	undis.	non-lesion	Long_Key_Bridge
Dl6A	Diploria_labyrinthiformis	dl6	DD	lesion	lesion	Long_Key_Bridge
Dl6B	Diploria_labyrinthiformis	dl6	DH	near	non-lesion	Long_Key_Bridge
Dl6C	Diploria_labyrinthiformis	dl6	DH	far	non-lesion	Long_Key_Bridge
Dl7C	Diploria_labyrinthiformis	dl7	DH	far	non-lesion	Long_Key_Bridge
Dl8A	Diploria_labyrinthiformis	dl8	DD	lesion	lesion	Long_Key_Bridge
Dl8B	Diploria_labyrinthiformis	dl8	DH	near	non-lesion	Long_Key_Bridge
Dl8C	Diploria_labyrinthiformis	dl8	DH	far	non-lesion	Long_Key_Bridge
Dl9A	Diploria_labyrinthiformis	dl9	DD	lesion	lesion	Long_Key_Bridge
Dl9B	Diploria_labyrinthiformis	dl9	DH	near	non-lesion	Long_Key_Bridge
Dl9C	Diploria_labyrinthiformis	dl9	DH	far	non-lesion	Long_Key_Bridge
Ds1A	Dichocoenia_stokesii	ds1	DD	lesion	lesion	Long_Key_Bridge
Ds1B	Dichocoenia_stokesii	ds1	DH	near	non-lesion	Long_Key_Bridge
Ds1C	Dichocoenia_stokesii	ds1	DH	far	non-lesion	Long_Key_Bridge
Ds2A	Dichocoenia_stokesii	ds2	DD	lesion	lesion	Long_Key_Bridge
Ds2B	Dichocoenia_stokesii	ds2	DH	near	non-lesion	Long_Key_Bridge
Ds2C	Dichocoenia_stokesii	ds2	DH	far	non-lesion	Long_Key_Bridge
Ds3A	Dichocoenia_stokesii	ds0	DD	lesion	lesion	Long_Key_Bridge
Ds3B	Dichocoenia_stokesii	ds3	DD	lesion	lesion	Long_Key_Bridge
Ds3C	Dichocoenia_stokesii	ds3	DH	far	non-lesion	Long_Key_Bridge
Ds4A	Dichocoenia_stokesii	ds4	DD	lesion	lesion	Long_Key_Bridge
Ds4B	Dichocoenia_stokesii	ds4	DH	near	non-lesion	Long_Key_Bridge
Ds4C	Dichocoenia_stokesii	ds4	DH	far	non-lesion	Long_Key_Bridge
